        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
1.566e+14 1.605e+14   64      0        0  1.64e+10  0.00e+00  0.00e+00  3.00e+42  5.45e-14  2.79e+10  1.88e+05  2.33e+05  3.06e-12  5.11e-11  0.00e+00  0.00e+00  1.66e-08 -2.14e+34 -3.26e+32 -1.35e+34  7.39e+05  1.44e+07  0.00e+00  1.20e+07 
1.644e+14 1.685e+14   65      0        0  1.61e+10  0.00e+00  0.00e+00  3.44e+42  5.28e-14  2.70e+10  1.86e+05  2.28e+05  3.58e-12  5.55e-11  0.00e+00  0.00e+00  1.89e-08 -2.03e+34  1.29e+32 -1.32e+34  6.90e+05  1.45e+07  0.00e+00  1.19e+07 
1.726e+14 1.769e+14   66      0        0  1.57e+10  0.00e+00  0.00e+00  3.95e+42  5.08e-14  2.60e+10  1.84e+05  2.24e+05  2.60e-12  6.11e-11  0.00e+00  0.00e+00  2.15e-08 -2.03e+34  3.28e+32 -1.32e+34  6.46e+05  1.46e+07  0.00e+00  1.19e+07 
1.812e+14 1.857e+14   67      0        0  1.54e+10  0.00e+00  0.00e+00  4.54e+42  4.89e-14  2.50e+10  1.82e+05  2.20e+05  3.20e-12  6.53e-11  0.00e+00  0.00e+00  2.43e-08 -1.95e+34 -5.40e+32 -1.25e+34  6.05e+05  1.47e+07  0.00e+00  1.18e+07 
1.902e+14 1.949e+14   68      0        0  1.51e+10  0.00e+00  0.00e+00  5.21e+42  4.67e-14  2.39e+10  1.79e+05  2.16e+05  3.74e-12  7.50e-11  0.00e+00  0.00e+00  2.75e-08 -1.84e+34 -3.94e+31 -1.22e+34  5.69e+05  1.47e+07  0.00e+00  1.17e+07 
1.997e+14 2.046e+14   69      0        0  1.48e+10  0.00e+00  0.00e+00  5.99e+42  4.45e-14  2.28e+10  1.77e+05  2.12e+05  3.20e-12  8.06e-11  0.00e+00  0.00e+00  3.10e-08 -1.83e+34 -5.12e+32 -1.13e+34  5.36e+05  1.48e+07  0.00e+00  1.17e+07 
2.096e+14 2.148e+14   70      0        0  1.45e+10  0.00e+00  0.00e+00  6.89e+42  4.23e-14  2.17e+10  1.75e+05  2.08e+05  4.35e-12  8.65e-11  0.00e+00  0.00e+00  2.17e-09 -1.72e+34  1.26e+32 -1.12e+34  5.05e+05  1.48e+07  0.00e+00  1.15e+07 
2.200e+14 2.255e+14   71      0        0  1.42e+10  0.00e+00  0.00e+00  7.92e+42  4.02e-14  2.06e+10  1.73e+05  2.05e+05  4.02e-12  9.29e-11  0.00e+00  0.00e+00  3.90e-08 -1.70e+34  1.11e+32 -1.11e+34  4.76e+05  1.48e+07  0.00e+00  1.14e+07 
2.310e+14 2.367e+14   72      0        0  1.39e+10  0.00e+00  0.00e+00  9.11e+42  3.81e-14  1.95e+10  1.70e+05  2.01e+05  4.17e-12  1.03e-10  0.00e+00  0.00e+00  4.39e-08 -1.67e+34 -6.18e+31 -1.09e+34  4.49e+05  1.48e+07  0.00e+00  1.13e+07 
2.425e+14 2.485e+14   73      0        0  1.36e+10  0.00e+00  0.00e+00  1.05e+43  3.59e-14  1.84e+10  1.68e+05  1.98e+05  4.17e-12  1.11e-10  0.00e+00  0.00e+00  4.91e-08 -1.65e+34  2.32e+31 -9.90e+33  4.23e+05  1.48e+07  0.00e+00  1.12e+07 
2.545e+14 2.608e+14   74      0        0  1.34e+10  0.00e+00  0.00e+00  1.21e+43  3.38e-14  1.73e+10  1.66e+05  1.94e+05  3.54e-12  1.21e-10  0.00e+00  0.00e+00  5.47e-08 -1.55e+34  2.13e+32 -1.00e+34  4.01e+05  1.48e+07  0.00e+00  1.10e+07 
2.672e+14 2.738e+14   75      0        0  1.31e+10  0.00e+00  0.00e+00  1.39e+43  3.17e-14  1.62e+10  1.64e+05  1.91e+05  3.96e-12  1.37e-10  0.00e+00  0.00e+00  6.10e-08 -1.51e+34  1.86e+32 -9.34e+33  3.80e+05  1.47e+07  0.00e+00  1.09e+07 
2.805e+14 2.874e+14   76      0        0  1.29e+10  0.00e+00  0.00e+00  1.60e+43  2.98e-14  1.53e+10  1.61e+05  1.88e+05  3.80e-12  1.52e-10  0.00e+00  0.00e+00  6.79e-08 -1.48e+34 -1.16e+32 -8.99e+33  3.59e+05  1.47e+07  0.00e+00  1.07e+07 
2.944e+14 3.017e+14   77      0        0  1.26e+10  0.00e+00  0.00e+00  1.84e+43  2.81e-14  1.44e+10  1.59e+05  1.85e+05  5.01e-12  1.62e-10  0.00e+00  0.00e+00  7.58e-08 -1.44e+34 -1.35e+32 -8.58e+33  3.39e+05  1.46e+07  0.00e+00  1.05e+07 
