        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.575e+14   55      0        0  7.79e+07  0.00e+00  0.00e+00  1.60e-06 -4.34e-18  1.39e-06  0.00e+00  2.18e-07  0.00e+00  1.39e-06 -4.34e-18  1.60e-06  4.11e-06  3.52e-06  1.00e+00  1.00e+05 
3.753e+14   56      0        0  1.40e+08  0.00e+00  0.00e+00  2.20e-06 -2.71e-17  1.83e-06  0.00e+00  3.74e-07  0.00e+00  1.83e-06 -2.71e-17  2.20e-06  5.50e-06  4.55e-06  1.00e+00  1.00e+05 
3.940e+14   57      0        0  2.25e+08  0.00e+00  0.00e+00  2.03e-06 -1.14e-16  1.45e-06  0.00e+00  5.72e-07  0.00e+00  1.45e-06 -1.14e-16  2.03e-06  3.65e-06  3.55e-06  1.00e+00  1.00e+05 
4.136e+14   58      0        0  2.73e+08  0.00e+00  0.00e+00  2.00e-06 -1.93e-16  1.34e-06  0.00e+00  6.59e-07  0.00e+00  1.34e-06 -1.93e-16  2.00e-06  5.75e-06  4.25e-06  1.00e+00  1.00e+05 
4.342e+14   59      0        0  3.60e+08  0.00e+00  0.00e+00  2.67e-06 -4.25e-16  1.84e-06  0.00e+00  8.30e-07  0.00e+00  1.84e-06 -4.25e-16  2.67e-06  6.63e-06  4.77e-06  1.00e+00  1.00e+05 
4.558e+14   60      0        0  4.63e+08  0.00e+00  0.00e+00  2.20e-06 -8.59e-16  1.18e-06  0.00e+00  1.02e-06  0.00e+00  1.18e-06 -8.59e-16  2.20e-06  4.06e-06  3.47e-06  1.00e+00  1.00e+05 
4.784e+14   61      0        0  5.08e+08  0.00e+00  0.00e+00  2.07e-06 -1.08e-15  1.00e-06  0.00e+00  1.06e-06  0.00e+00  1.00e-06 -1.08e-15  2.07e-06  6.43e-06  4.15e-06  1.00e+00  1.00e+05 
5.022e+14   62      0        0  6.07e+08  0.00e+00  0.00e+00  2.42e-06 -1.75e-15  1.21e-06  0.00e+00  1.21e-06  0.00e+00  1.21e-06 -1.75e-15  2.42e-06  5.61e-06  3.66e-06  1.00e+00  1.00e+05 
5.272e+14   63      0        0  6.84e+08  0.00e+00  0.00e+00  1.73e-06 -2.40e-15  4.36e-07  0.00e+00  1.30e-06  0.00e+00  4.36e-07 -2.40e-15  1.73e-06  3.84e-06  2.24e-06  1.00e+00  1.00e+05 
5.535e+14   64      0        0  7.17e+08  0.00e+00  0.00e+00  2.13e-06 -2.62e-15  8.32e-07  0.00e+00  1.30e-06  0.00e+00  8.32e-07 -2.62e-15  2.13e-06  7.43e-06  4.67e-06  1.00e+00  1.00e+05 
5.810e+14   65      0        0  8.46e+08  0.00e+00  0.00e+00  2.49e-06 -4.10e-15  1.03e-06  0.00e+00  1.46e-06  0.00e+00  1.03e-06 -4.10e-15  2.49e-06  5.33e-06  3.60e-06  1.00e+00  1.00e+05 
6.099e+14   66      0        0  9.14e+08  0.00e+00  0.00e+00  1.90e-06 -4.93e-15  4.01e-07  0.00e+00  1.50e-06  0.00e+00  4.01e-07 -4.93e-15  1.90e-06  5.27e-06  2.31e-06  1.00e+00  1.00e+05 
6.402e+14   67      0        0  9.82e+08  0.00e+00  0.00e+00  2.33e-06 -5.83e-15  7.99e-07  0.00e+00  1.53e-06  0.00e+00  7.99e-07 -5.83e-15  2.33e-06  7.22e-06  4.03e-06  1.00e+00  1.00e+05 
6.721e+14   68     -1        0  1.11e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.055e+14   69     -1        0  1.21e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
