  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  0  94     -1 2.165319e+13 6.714286e+01  1.395427e+09 0.000000e+00  1.038737e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  95     -1 2.165319e+13 6.785714e+01  1.317912e+09 0.000000e+00  9.850159e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  96     -1 2.165319e+13 6.857143e+01  1.243416e+09 0.000000e+00  9.350538e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  97     -1 2.165319e+13 6.928571e+01  1.168141e+09 0.000000e+00  8.861799e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  98     -1 2.165319e+13 7.000000e+01  1.089342e+09 0.000000e+00  8.365758e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  99     -1 2.165319e+13 7.071429e+01  1.005442e+09 0.000000e+00  7.850969e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 100     -1 2.165319e+13 7.142857e+01  9.142798e+08 0.000000e+00  7.303144e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 101     -1 2.165319e+13 7.214286e+01  8.147943e+08 0.000000e+00  6.721113e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 102     -1 2.165319e+13 7.285714e+01  7.069715e+08 0.000000e+00  6.114135e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 103     -1 2.165319e+13 7.357143e+01  5.914540e+08 0.000000e+00  5.495823e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 104     -1 2.165319e+13 7.428571e+01  4.696724e+08 0.000000e+00  4.875460e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 105     -1 2.165319e+13 7.500000e+01  3.441974e+08 0.000000e+00  4.259783e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 106     -1 2.165319e+13 7.571429e+01  2.184540e+08 0.000000e+00  3.657837e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 107     -1 2.165319e+13 7.642857e+01  9.404886e+07 0.000000e+00  3.078023e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 108     -1 2.165319e+13 7.714286e+01 -2.812855e+07 0.000000e+00  2.533475e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 109     -1 2.165319e+13 7.785714e+01 -1.472220e+08 0.000000e+00  2.034821e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 110     -1 2.165319e+13 7.857143e+01 -2.623975e+08 0.000000e+00  1.570743e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 111     -1 2.165319e+13 7.928571e+01 -3.731984e+08 0.000000e+00  1.116193e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 112     -1 2.165319e+13 8.000000e+01 -4.791402e+08 0.000000e+00  6.539449e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 113     -1 2.165319e+13 8.071429e+01 -5.794921e+08 0.000000e+00  2.104842e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 114     -1 2.165319e+13 8.142857e+01 -6.732383e+08 0.000000e+00 -1.726946e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 115     -1 2.165319e+13 8.214286e+01 -7.594743e+08 0.000000e+00 -4.743550e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 116     -1 2.165319e+13 8.285714e+01 -8.385609e+08 0.000000e+00 -7.197036e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 117     -1 2.165319e+13 8.357143e+01 -9.110847e+08 0.000000e+00 -9.425753e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 118     -1 2.165319e+13 8.428571e+01 -9.772753e+08 0.000000e+00 -1.140169e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 119     -1 2.165319e+13 8.500000e+01 -1.036488e+09 0.000000e+00 -1.267429e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 120     -1 2.165319e+13 8.571429e+01 -1.087691e+09 0.000000e+00 -1.276595e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 121     -1 2.165319e+13 8.642857e+01 -1.130278e+09 0.000000e+00 -1.187137e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 122     -1 2.165319e+13 8.714286e+01 -1.164177e+09 0.000000e+00 -1.056188e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 123     -1 2.165319e+13 8.785714e+01 -1.190101e+09 0.000000e+00 -9.137156e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 124     -1 2.165319e+13 8.857143e+01 -1.209048e+09 0.000000e+00 -6.789690e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 125     -1 2.165319e+13 8.928571e+01 -1.222212e+09 0.000000e+00 -2.230066e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 126     -1 2.165319e+13 9.000000e+01 -1.229398e+09 0.000000e+00  4.419779e+07 0.000000e+00 0.000000e+00 0.000000e+00
  0 127     -1 2.165319e+13 9.000000e+01 -1.229398e+09 0.000000e+00  4.419779e+07 0.000000e+00 0.000000e+00 0.000000e+00
  1   0     -1 2.214167e+13 0.000000e+00 -2.128128e+09 0.000000e+00  4.342824e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   1     -1 2.214167e+13 7.142857e-01 -2.073823e+09 0.000000e+00  4.369016e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   2     -1 2.214167e+13 1.428571e+00 -2.019197e+09 0.000000e+00  4.394529e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   3     -1 2.214167e+13 2.142857e+00 -1.964256e+09 0.000000e+00  4.419360e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   4     -1 2.214167e+13 2.857143e+00 -1.585393e+09 0.000000e+00  4.737916e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   5     -1 2.214167e+13 3.571429e+00 -1.056093e+09 0.000000e+00  5.013850e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   6     -1 2.214167e+13 4.285714e+00 -5.786360e+08 0.000000e+00  5.290855e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1   7      0 2.214167e+13 5.000000e+00 -1.256895e+08 0.000000e+00  5.566277e+09 5.896289e-14 7.673475e+04 2.677743e+05
  1   8      0 2.214167e+13 5.714286e+00  3.067793e+08 0.000000e+00  5.840375e+09 5.822532e-14 7.687380e+04 2.683135e+05
  1   9      0 2.214167e+13 6.428571e+00  6.932630e+08 0.000000e+00  6.121503e+09 5.739396e-14 7.696721e+04 2.686758e+05
  1  10      0 2.214167e+13 7.142857e+00  1.004312e+09 0.000000e+00  6.422365e+09 5.641229e-14 7.698628e+04 2.687498e+05
  1  11      0 2.214167e+13 7.857143e+00  1.226736e+09 0.000000e+00  6.750759e+09 5.531124e-14 7.693969e+04 2.685691e+05
