        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
6.226e+13   45      0        0  1.83e+10  0.00e+00  0.00e+00  2.01e+41  6.92e-14  3.55e+10  2.68e+05  2.68e+05 -7.79e+02 -1.42e+03  3.52e+05  3.52e+05  1.01e-01  3.01e+41  3.01e+41  3.01e+41  4.37e+06  3.22e+06  4.17e+06  9.99e-01  0.00e+00  0.00e+00 
6.536e+13   46      0        0  1.84e+10  0.00e+00  0.00e+00  2.33e+41  6.96e-14  3.57e+10  2.61e+05  2.60e+05 -4.31e+02 -1.26e+03  3.44e+05  3.43e+05  9.99e-02  3.07e+41  3.07e+41  3.07e+41  4.40e+06  2.95e+06  4.18e+06  9.99e-01  0.00e+00  0.00e+00 
6.861e+13   47      0        0  1.85e+10  0.00e+00  0.00e+00  2.70e+41  6.96e-14  3.57e+10  2.54e+05  2.53e+05 -9.41e+02 -9.31e+02  3.35e+05  3.35e+05  9.88e-02  3.12e+41  3.12e+41  3.12e+41  4.43e+06  2.71e+06  4.19e+06  9.99e-01  0.00e+00  0.00e+00 
7.203e+13   48      0        0  1.86e+10  0.00e+00  0.00e+00  3.13e+41  6.91e-14  3.54e+10  2.47e+05  2.48e+05  4.65e+02 -1.22e+03  3.27e+05  3.27e+05  9.78e-02  3.14e+41  3.14e+41  3.14e+41  4.47e+06  2.51e+06  4.20e+06  6.99e-01  0.00e+00  0.00e+00 
7.561e+13   49      0        0  1.86e+10  0.00e+00  0.00e+00  3.63e+41  6.91e-14  3.54e+10  2.43e+05  2.41e+05 -4.89e+02 -1.29e+03  3.19e+05  3.19e+05  9.67e-02  3.20e+41  3.20e+41  3.20e+41  4.50e+06  2.30e+06  4.21e+06  9.99e-01  0.00e+00  0.00e+00 
7.937e+13   50      0        0  1.87e+10  0.00e+00  0.00e+00  4.20e+41  6.87e-14  3.52e+10  2.35e+05  2.35e+05 -5.83e+02 -1.75e+03  3.12e+05  3.12e+05  9.53e-02  3.20e+41  3.20e+41  3.20e+41  4.54e+06  2.12e+06  4.22e+06  9.99e-01  0.00e+00  0.00e+00 
8.332e+13   51      0        0  1.87e+10  0.00e+00  0.00e+00  4.85e+41  6.80e-14  3.48e+10  2.30e+05  2.29e+05 -7.69e+02 -1.68e+03  3.05e+05  3.04e+05  9.38e-02  3.21e+41  3.21e+41  3.21e+41  4.58e+06  1.96e+06  4.23e+06  9.99e-01  0.00e+00  0.00e+00 
8.746e+13   52      0        0  1.86e+10  0.00e+00  0.00e+00  5.61e+41  6.71e-14  3.43e+10  2.25e+05  2.25e+05 -6.58e+02 -1.92e+03  2.98e+05  2.97e+05  9.22e-02  3.21e+41  3.21e+41  3.21e+41  4.62e+06  1.83e+06  4.24e+06  9.99e-01  0.00e+00  0.00e+00 
9.181e+13   53      0        0  1.86e+10  0.00e+00  0.00e+00  6.47e+41  6.60e-14  3.38e+10  2.20e+05  2.20e+05 -6.51e+02 -1.70e+03  2.91e+05  2.91e+05  9.03e-02  3.21e+41  3.21e+41  3.21e+41  4.66e+06  1.70e+06  4.25e+06  9.99e-01  0.00e+00  0.00e+00 
9.638e+13   54      0        0  1.85e+10  0.00e+00  0.00e+00  7.46e+41  6.50e-14  3.33e+10  2.16e+05  2.16e+05 -5.65e+02 -1.59e+03  2.85e+05  2.85e+05  8.85e-02  3.20e+41  3.20e+41  3.20e+41  4.70e+06  1.58e+06  4.27e+06  9.99e-01  0.00e+00  0.00e+00 
1.012e+14   55      0        0  1.84e+10  0.00e+00  0.00e+00  8.59e+41  6.38e-14  3.27e+10  2.12e+05  2.12e+05 -5.66e+02 -1.71e+03  2.79e+05  2.78e+05  8.67e-02  3.19e+41  3.19e+41  3.19e+41  4.75e+06  1.47e+06  4.28e+06  9.99e-01  0.00e+00  0.00e+00 
1.062e+14   56      0        0  1.83e+10  0.00e+00  0.00e+00  9.90e+41  6.30e-14  3.23e+10  2.09e+05  2.09e+05 -5.96e+02 -1.70e+03  2.73e+05  2.72e+05  8.47e-02  3.20e+41  3.20e+41  3.20e+41  4.80e+06  1.36e+06  4.29e+06  9.99e-01  0.00e+00  0.00e+00 
1.115e+14   57      0        0  1.81e+10  0.00e+00  0.00e+00  1.14e+42  6.21e-14  3.18e+10  2.06e+05  2.05e+05 -4.67e+02 -1.74e+03  2.67e+05  2.67e+05  8.25e-02  3.21e+41  3.21e+41  3.21e+41  4.85e+06  1.26e+06  4.30e+06  9.99e-01  0.00e+00  0.00e+00 
1.170e+14   58      0        0  1.79e+10  0.00e+00  0.00e+00  1.31e+42  6.12e-14  3.14e+10  2.03e+05  2.02e+05 -3.53e+02 -1.76e+03  2.62e+05  2.61e+05  8.07e-02  3.24e+41  3.24e+41  3.24e+41  4.90e+06  1.17e+06  4.31e+06  9.99e-01  0.00e+00  0.00e+00 
1.229e+14   59      0        0  1.77e+10  0.00e+00  0.00e+00  1.50e+42  6.04e-14  3.10e+10  2.00e+05  2.00e+05 -4.96e+02 -1.74e+03  2.57e+05  2.56e+05  7.83e-02  3.25e+41  3.25e+41  3.25e+41  4.96e+06  1.08e+06  4.32e+06  9.99e-01  0.00e+00  0.00e+00 
1.290e+14   60      0        0  1.75e+10  0.00e+00  0.00e+00  1.73e+42  5.97e-14  3.06e+10  1.98e+05  1.97e+05 -4.60e+02 -1.67e+03  2.52e+05  2.51e+05  7.58e-02  3.26e+41  3.26e+41  3.26e+41  5.01e+06  9.95e+05  4.32e+06  9.99e-01  0.00e+00  0.00e+00 
1.354e+14   61      0        0  1.72e+10  0.00e+00  0.00e+00  1.98e+42  5.87e-14  3.01e+10  1.95e+05  1.95e+05 -4.99e+02 -1.60e+03  2.46e+05  2.46e+05  7.37e-02  3.26e+41  3.26e+41  3.26e+41  5.06e+06  9.20e+05  4.32e+06  9.99e-01  0.00e+00  0.00e+00 
1.421e+14   62      0        0  1.70e+10  0.00e+00  0.00e+00  2.28e+42  5.75e-14  2.95e+10  1.93e+05  1.92e+05 -2.12e+02 -1.68e+03  2.42e+05  2.42e+05  7.12e-02  3.24e+41  3.24e+41  3.24e+41  5.10e+06  8.53e+05  4.32e+06  9.99e-01  0.00e+00  0.00e+00 
1.492e+14   63      0        0  1.67e+10  0.00e+00  0.00e+00  2.61e+42  5.61e-14  2.87e+10  1.90e+05  1.90e+05 -7.51e+01 -1.55e+03  2.37e+05  2.37e+05  6.89e-02  3.22e+41  3.22e+41  3.22e+41  5.14e+06  7.93e+05  4.31e+06  9.99e-01  0.00e+00  0.00e+00 
1.566e+14   64      0        0  1.64e+10  0.00e+00  0.00e+00  3.00e+42  5.45e-14  2.79e+10  1.88e+05  1.88e+05 -3.87e+02 -1.32e+03  2.33e+05  2.33e+05  6.61e-02  3.17e+41  3.17e+41  3.17e+41  5.18e+06  7.39e+05  4.31e+06  9.99e-01  0.00e+00  0.00e+00 
1.644e+14   65      0        0  1.61e+10  0.00e+00  0.00e+00  3.44e+42  5.28e-14  2.70e+10  1.86e+05  1.86e+05 -4.08e+02 -1.45e+03  2.29e+05  2.28e+05  6.36e-02  3.11e+41  3.11e+41  3.11e+41  5.22e+06  6.90e+05  4.29e+06  9.99e-01  0.00e+00  0.00e+00 
1.726e+14   66      0        0  1.57e+10  0.00e+00  0.00e+00  3.95e+42  5.08e-14  2.60e+10  1.84e+05  1.84e+05 -7.09e+02 -1.17e+03  2.24e+05  2.24e+05  6.11e-02  3.03e+41  3.03e+41  3.03e+41  5.25e+06  6.46e+05  4.27e+06  9.99e-01  0.00e+00  0.00e+00 
1.812e+14   67      0        0  1.54e+10  0.00e+00  0.00e+00  4.54e+42  4.89e-14  2.50e+10  1.82e+05  1.81e+05 -8.14e+02 -1.17e+03  2.20e+05  2.20e+05  5.83e-02  2.95e+41  2.95e+41  2.95e+41  5.28e+06  6.04e+05  4.25e+06  9.99e-01  0.00e+00  0.00e+00 
1.902e+14   68      0        0  1.51e+10  0.00e+00  0.00e+00  5.21e+42  4.67e-14  2.39e+10  1.79e+05  1.79e+05 -5.35e+02 -1.19e+03  2.16e+05  2.16e+05  5.60e-02  2.85e+41  2.85e+41  2.85e+41  5.30e+06  5.68e+05  4.22e+06  9.99e-01  0.00e+00  0.00e+00 
1.997e+14   69      0        0  1.48e+10  0.00e+00  0.00e+00  5.99e+42  4.45e-14  2.28e+10  1.77e+05  1.77e+05 -2.97e+02 -1.32e+03  2.13e+05  2.12e+05  5.32e-02  2.74e+41  2.74e+41  2.74e+41  5.32e+06  5.36e+05  4.19e+06  9.99e-01  0.00e+00  0.00e+00 
2.096e+14   70      0        0  1.45e+10  0.00e+00  0.00e+00  6.89e+42  4.23e-14  2.17e+10  1.75e+05  1.75e+05 -5.38e+02 -1.10e+03  2.09e+05  2.08e+05  5.08e-02  2.62e+41  2.62e+41  2.62e+41  5.33e+06  5.04e+05  4.15e+06  9.99e-01  0.00e+00  0.00e+00 
2.200e+14   71      0        0  1.42e+10  0.00e+00  0.00e+00  7.92e+42  4.02e-14  2.06e+10  1.73e+05  1.73e+05 -5.61e+02 -9.66e+02  2.05e+05  2.05e+05  4.84e-02  2.51e+41  2.51e+41  2.51e+41  5.33e+06  4.75e+05  4.11e+06  9.99e-01  0.00e+00  0.00e+00 
2.310e+14   72      0        0  1.39e+10  0.00e+00  0.00e+00  9.11e+42  3.81e-14  1.95e+10  1.70e+05  1.70e+05 -5.33e+02 -1.02e+03  2.01e+05  2.01e+05  4.59e-02  2.39e+41  2.39e+41  2.39e+41  5.33e+06  4.49e+05  4.06e+06  9.99e-01  0.00e+00  0.00e+00 
2.425e+14   73      0        0  1.36e+10  0.00e+00  0.00e+00  1.05e+43  3.59e-14  1.84e+10  1.68e+05  1.68e+05 -1.09e+03 -7.30e+02  1.98e+05  1.97e+05  4.35e-02  2.27e+41  2.27e+41  2.27e+41  5.33e+06  4.23e+05  4.02e+06  9.99e-01  0.00e+00  0.00e+00 
2.545e+14   74      0        0  1.34e+10  0.00e+00  0.00e+00  1.21e+43  3.38e-14  1.73e+10  1.66e+05  1.66e+05 -2.84e+02 -1.05e+03  1.94e+05  1.94e+05  4.12e-02  2.14e+41  2.14e+41  2.14e+41  5.31e+06  4.01e+05  3.96e+06  9.99e-01  0.00e+00  0.00e+00 
2.672e+14   75      0        0  1.31e+10  0.00e+00  0.00e+00  1.39e+43  3.17e-14  1.62e+10  1.64e+05  1.64e+05 -1.56e+02 -9.72e+02  1.91e+05  1.91e+05  3.89e-02  2.02e+41  2.02e+41  2.02e+41  5.30e+06  3.80e+05  3.91e+06  9.99e-01  0.00e+00  0.00e+00 
2.805e+14   76      0        0  1.29e+10  0.00e+00  0.00e+00  1.60e+43  2.98e-14  1.53e+10  1.61e+05  1.61e+05 -3.38e+02 -9.87e+02  1.88e+05  1.88e+05  3.66e-02  1.91e+41  1.91e+41  1.91e+41  5.28e+06  3.60e+05  3.86e+06  9.99e-01  0.00e+00  0.00e+00 
2.944e+14   77      0        0  1.26e+10  0.00e+00  0.00e+00  1.84e+43  2.81e-14  1.44e+10  1.59e+05  1.59e+05 -4.35e+02 -9.07e+02  1.85e+05  1.85e+05  3.43e-02  1.81e+41  1.81e+41  1.81e+41  5.25e+06  3.39e+05  3.80e+06  9.99e-01  0.00e+00  0.00e+00 
3.091e+14   78      0        0  1.24e+10  0.00e+00  0.00e+00  2.12e+43  2.64e-14  1.35e+10  1.57e+05  1.57e+05 -2.62e+02 -9.97e+02  1.82e+05  1.82e+05  3.22e-02  1.71e+41  1.71e+41  1.71e+41  5.22e+06  3.20e+05  3.73e+06  9.99e-01  0.00e+00  0.00e+00 
