        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.486e+14   51      0        0  2.47e+07  0.00e+00  0.00e+00  8.07e-07 -2.02e-21  7.36e-07  0.00e+00  7.09e-08  0.00e+00  7.36e-07 -2.02e-21  8.07e-07  2.41e-06  2.16e-06  1.00e+00  1.00e+05 
3.678e+14   52      0        0  6.61e+07  0.00e+00  0.00e+00  1.61e-06 -3.43e-18  1.43e-06  0.00e+00  1.80e-07  0.00e+00  1.43e-06 -3.43e-18  1.61e-06  4.46e-06  3.90e-06  1.00e+00  1.00e+05 
3.880e+14   53      0        0  1.45e+08  0.00e+00  0.00e+00  2.12e-06 -2.97e-17  1.75e-06  0.00e+00  3.74e-07  0.00e+00  1.75e-06 -2.97e-17  2.12e-06  4.77e-06  3.87e-06  1.00e+00  1.00e+05 
4.094e+14   54      0        0  2.27e+08  0.00e+00  0.00e+00  1.81e-06 -1.13e-16  1.25e-06  0.00e+00  5.55e-07  0.00e+00  1.25e-06 -1.13e-16  1.81e-06  3.48e-06  3.18e-06  1.00e+00  1.00e+05 
4.319e+14   55      0        0  2.78e+08  0.00e+00  0.00e+00  2.29e-06 -1.98e-16  1.65e-06  0.00e+00  6.45e-07  0.00e+00  1.65e-06 -1.98e-16  2.29e-06  7.14e-06  5.59e-06  1.00e+00  1.00e+05 
4.557e+14   56      0        0  4.11e+08  0.00e+00  0.00e+00  2.52e-06 -5.98e-16  1.61e-06  0.00e+00  9.02e-07  0.00e+00  1.61e-06 -5.98e-16  2.52e-06  4.57e-06  4.36e-06  1.00e+00  1.00e+05 
4.808e+14   57      0        0  4.78e+08  0.00e+00  0.00e+00  1.96e-06 -8.96e-16  9.69e-07  0.00e+00  9.95e-07  0.00e+00  9.69e-07 -8.96e-16  1.96e-06  5.30e-06  3.19e-06  1.00e+00  1.00e+05 
5.072e+14   58      0        0  5.63e+08  0.00e+00  0.00e+00  2.42e-06 -1.38e-15  1.31e-06  0.00e+00  1.11e-06  0.00e+00  1.31e-06 -1.38e-15  2.42e-06  6.65e-06  4.26e-06  1.00e+00  1.00e+05 
5.351e+14   59      0        0  6.82e+08  0.00e+00  0.00e+00  1.78e-06 -2.33e-15  5.04e-07  0.00e+00  1.27e-06  0.00e+00  5.04e-07 -2.33e-15  1.78e-06  2.81e-06  2.60e-06  1.00e+00  1.00e+05 
5.646e+14   60      0        0  6.91e+08  0.00e+00  0.00e+00  1.87e-06 -2.29e-15  6.45e-07  0.00e+00  1.22e-06  0.00e+00  6.45e-07 -2.29e-15  1.87e-06  7.35e-06  4.71e-06  1.00e+00  1.00e+05 
5.957e+14   61      0        0  8.37e+08  0.00e+00  0.00e+00  2.43e-06 -3.89e-15  1.02e-06  0.00e+00  1.41e-06  0.00e+00  1.02e-06 -3.89e-15  2.43e-06  5.06e-06  3.65e-06  1.00e+00  1.00e+05 
6.285e+14   62      0        0  9.09e+08  0.00e+00  0.00e+00  1.78e-06 -4.72e-15  3.35e-07  0.00e+00  1.45e-06  0.00e+00  3.35e-07 -4.72e-15  1.78e-06  4.96e-06  2.13e-06  1.00e+00  1.00e+05 
6.631e+14   63      0        0  9.80e+08  0.00e+00  0.00e+00  2.24e-06 -5.59e-15  7.58e-07  0.00e+00  1.48e-06  0.00e+00  7.58e-07 -5.59e-15  2.24e-06  7.04e-06  3.95e-06  1.00e+00  1.00e+05 
6.996e+14   64      0        0  1.12e+09  0.00e+00  0.00e+00  2.52e-06 -8.00e-15  9.11e-07  0.00e+00  1.61e-06  0.00e+00  9.11e-07 -8.00e-15  2.52e-06  6.20e-06  3.52e-06  1.00e+00  1.00e+05 
7.381e+14   65     -1        0  1.24e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.787e+14   66     -1        0  1.24e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
