        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
3.678e+14   52      0        0  6.61e+07  0.00e+00  0.00e+00  3.63e+43  8.08e-13  4.13e+11  2.85e+04  2.86e+04  2.93e+01 -1.97e+01  3.59e+04  3.59e+04  5.86e-01  7.86e+42  7.86e+42  7.91e+42  1.84e+07  1.98e+02  5.49e+06  1.85e-01  0.00e+00  0.00e+00 
3.880e+14   53      0        0  1.45e+08  0.00e+00  0.00e+00  4.27e+43  7.96e-13  4.07e+11  2.68e+04  2.68e+04 -1.65e+02  4.89e+02  3.31e+04  3.31e+04  6.36e-01  8.60e+42  8.60e+42  8.63e+42  1.67e+07  1.35e+02  4.34e+06  2.74e-01  0.00e+00  0.00e+00 
4.094e+14   54      0        0  2.27e+08  0.00e+00  0.00e+00  5.01e+43  7.74e-13  3.96e+11  2.46e+04  2.49e+04  2.27e+02 -4.94e+01  3.06e+04  3.05e+04  6.74e-01  8.99e+42  8.98e+42  8.94e+42  1.50e+07  8.99e+01  3.33e+06  6.78e-01  0.00e+00  0.00e+00 
4.319e+14   55      0        0  2.78e+08  0.00e+00  0.00e+00  5.89e+43  7.49e-13  3.83e+11  2.30e+04  2.30e+04 -4.55e+00 -1.32e+01  2.82e+04  2.82e+04  6.95e-01  9.71e+42  9.71e+42  9.82e+42  1.30e+07  5.50e+01  2.56e+06  1.42e-01  0.00e+00  0.00e+00 
4.557e+14   56      0        0  4.11e+08  0.00e+00  0.00e+00  6.91e+43  7.22e-13  3.69e+11  2.09e+04  2.08e+04 -1.61e+02  1.21e+02  2.64e+04  2.64e+04  6.54e-01  1.03e+43  1.03e+43  1.04e+43  1.09e+07  3.33e+01  1.88e+06  5.82e-01  0.00e+00  0.00e+00 
4.808e+14   57      0        0  4.78e+08  0.00e+00  0.00e+00  8.12e+43  6.76e-13  3.44e+11  1.92e+04  1.91e+04 -7.70e+00 -2.46e+00  2.43e+04  2.44e+04  6.18e-01  1.02e+43  1.02e+43  1.03e+43  8.54e+06  1.80e+01  1.33e+06  1.21e-01  0.00e+00  0.00e+00 
5.072e+14   58      0        0  5.63e+08  0.00e+00  0.00e+00  9.53e+43  5.59e-13  2.75e+11  1.76e+04  1.76e+04 -5.66e+01 -3.32e+01  2.14e+04  2.14e+04  6.42e-01  7.06e+42  7.06e+42  7.04e+42  6.06e+06  8.93e+00  8.04e+05  2.31e-01  0.00e+00  0.00e+00 
5.351e+14   59      0        0  6.82e+08  0.00e+00  0.00e+00  1.12e+44  3.78e-13  1.80e+11  1.46e+04  1.46e+04 -2.12e+01 -3.09e+01  1.98e+04  1.98e+04  5.03e-01  3.12e+42  3.12e+42  3.12e+42  3.94e+06  5.04e+00  3.83e+05  1.49e-01  0.00e+00  0.00e+00 
5.646e+14   60      0        0  6.91e+08  0.00e+00  0.00e+00  1.32e+44  2.23e-13  1.05e+11  1.24e+04  1.24e+04 -1.83e+01 -1.09e+01  1.87e+04  1.86e+04  3.45e-01  1.10e+42  1.10e+42  1.10e+42  2.44e+06  2.37e+00  1.77e+05  2.20e-01  0.00e+00  0.00e+00 
5.957e+14   61      0        0  8.37e+08  0.00e+00  0.00e+00  1.54e+44  1.20e-13  5.62e+10  1.07e+04  1.07e+04 -1.29e+01 -1.22e+01  1.81e+04  1.81e+04  2.15e-01  3.40e+41  3.40e+41  3.40e+41  1.52e+06  1.32e+00  6.87e+04  1.40e-01  0.00e+00  0.00e+00 
6.285e+14   62      0        0  9.09e+08  0.00e+00  0.00e+00  1.81e+44  6.37e-14  2.98e+10  1.00e+04  1.00e+04  1.43e+00 -1.75e+01  1.78e+04  1.77e+04  1.31e-01  1.05e+41  1.05e+41  1.06e+41  9.91e+05  7.10e-01  2.72e+04  1.00e-01  0.00e+00  0.00e+00 
6.631e+14   63      0        0  9.80e+08  0.00e+00  0.00e+00  2.13e+44  3.27e-14  1.53e+10  9.96e+03  9.96e+03  2.57e+01  5.61e+00  1.76e+04  1.75e+04  8.26e-02  3.17e+40  3.17e+40  3.18e+40  6.94e+05  3.75e-01  1.07e+04  1.10e-01  0.00e+00  0.00e+00 
6.996e+14   64      0        0  1.12e+09  0.00e+00  0.00e+00  2.50e+44  1.73e-14  8.08e+09  9.53e+03  1.02e+04 -1.80e+02  2.67e+02  1.74e+04  1.74e+04  5.27e-02  9.78e+39  9.77e+39  1.01e+40  5.24e+05  2.12e-01  3.72e+03  3.35e-01  0.00e+00  0.00e+00 
7.381e+14   65     -1        0  1.24e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.787e+14   66     -1        0  1.24e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
