        r      rcen    i inwind converge     nband      nxtot        xj xave_freq  xsd_freq      fmin      fmax  fmin_mod  fmax_mod spec_mod_type  pl_alpha  pl_log_w  exp_temp     exp_w 
4.136e+14 4.239e+14   58      0        0      0  4.35e+05  8.70e+12  7.48e+14  1.97e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.96e+00 -3.10e+01 -1.43e+04  1.07e-03 
4.342e+14 4.450e+14   59      0        0      0  4.45e+05  7.62e+12  7.42e+14  2.00e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.87e+00 -2.97e+01 -1.49e+04  1.03e-03 
4.558e+14 4.671e+14   60      0        0      0  4.33e+05  6.41e+12  7.38e+14  1.99e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.80e+00 -2.87e+01 -1.53e+04  9.35e-04 
4.784e+14 4.903e+14   61      0        0      0  3.90e+05  5.11e+12  7.31e+14  2.02e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.71e+00 -2.75e+01 -1.60e+04  8.18e-04 
5.022e+14 5.147e+14   62      0        0      0  2.87e+05  3.79e+12  7.30e+14  2.01e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.69e+00 -2.73e+01 -1.61e+04  6.18e-04 
5.272e+14 5.403e+14   63      0        0      0  1.80e+05  2.66e+12  7.25e+14  2.05e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.61e+00 -2.63e+01 -1.68e+04  4.71e-04 
5.535e+14 5.672e+14   64      0        0      0  9.36e+04  1.69e+12  7.25e+14  2.04e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.62e+00 -2.66e+01 -1.67e+04  2.98e-04 
5.810e+14 5.954e+14   65      0        0      0  3.78e+04  9.41e+11  7.21e+14  2.14e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.56e+00 -2.60e+01 -1.72e+04  1.76e-04 
6.099e+14 6.251e+14   66      0        0      0  1.64e+04  5.11e+11  7.08e+14  2.19e+14  1.00e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.40e+00 -2.39e+01 -1.89e+04  1.14e-04 
6.402e+14 6.562e+14   67      0        0      0  8.11e+03  2.63e+11  7.13e+14  2.14e+14  1.08e+14  1.00e+15  1.00e+14  1.00e+15  1.00e+00  1.45e+00 -2.50e+01 -1.83e+04  5.53e-05 
6.721e+14 6.888e+14   68     -1        0      0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.055e+14 7.091e+14   69     -1        0      0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.475e+13 2.537e+13    0     -1        0      1  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13 2.663e+13    1      0        0      1  8.42e+04  3.25e+15  2.41e+15  5.62e+14  1.02e+15  3.16e+15  1.02e+15  3.16e+15  2.00e+00  1.88e+00 -2.87e+01 -5.42e+04  2.06e-01 
2.728e+13 2.795e+13    2      0        0      1  1.78e+05  3.51e+15  2.39e+15  5.52e+14  1.01e+15  3.16e+15  1.01e+15  3.16e+15  1.00e+00  1.78e+00 -2.70e+01 -5.70e+04  2.47e-01 
2.863e+13 2.934e+13    3      0        0      1  2.88e+05  3.69e+15  2.39e+15  5.62e+14  1.00e+15  3.16e+15  1.00e+15  3.16e+15  1.00e+00  1.78e+00 -2.71e+01 -5.68e+04  2.56e-01 
3.006e+13 3.080e+13    4      0        0      1  4.17e+05  3.97e+15  2.41e+15  5.41e+14  1.00e+15  3.16e+15  1.00e+15  3.16e+15  1.00e+00  1.93e+00 -2.93e+01 -5.28e+04  2.37e-01 
3.155e+13 3.234e+13    5      0        0      1  5.87e+05  4.39e+15  2.42e+15  5.50e+14  1.00e+15  3.16e+15  1.00e+15  3.16e+15  1.00e+00  1.94e+00 -2.95e+01 -5.24e+04  2.58e-01 
3.312e+13 3.395e+13    6      0        0      1  7.84e+05  4.77e+15  2.41e+15  5.59e+14  1.00e+15  3.16e+15  1.00e+15  3.16e+15  1.00e+00  1.88e+00 -2.85e+01 -5.40e+04  2.98e-01 
