       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.80e+13 2.61e+13    2   18      0        0  1.90e+09  0.00e+00  1.95e+09 -1.27e-04  1.79e-16  1.16e-04  0.00e+00  0.00e+00  0.00e+00 -1.07e-04  2.87e-16  1.32e-04  9.06e-06  1.32e-04  1.00e+00  6.26e+05 
3.93e+13 2.41e+13    2   19      0        0  1.56e+09  0.00e+00  1.60e+09 -9.84e-05  4.22e-18  1.04e-04  0.00e+00  0.00e+00  0.00e+00 -7.96e-05 -5.48e-17  1.13e-04  1.91e-05  1.14e-04  1.00e+00  6.26e+05 
4.05e+13 2.20e+13    2   20      0        0  1.25e+09  0.00e+00  1.31e+09 -8.13e-05  6.84e-18  9.88e-05  0.00e+00  0.00e+00  0.00e+00 -6.45e-05 -2.05e-17  1.03e-04  2.73e-05  1.04e-04  1.00e+00  6.26e+05 
4.16e+13 1.98e+13    2   21      0        0  9.77e+08  0.00e+00  1.04e+09 -6.37e-05  4.73e-18  9.47e-05  0.00e+00  0.00e+00  0.00e+00 -4.99e-05  5.49e-17  9.34e-05  3.41e-05  9.65e-05  1.00e+00  6.26e+05 
4.26e+13 1.76e+13    2   22      0        0  7.28e+08  0.00e+00  8.14e+08 -5.22e-05  1.27e-16  9.44e-05  0.00e+00  0.00e+00  0.00e+00 -4.15e-05  5.92e-17  9.01e-05  4.07e-05  9.48e-05  1.00e+00  6.26e+05 
4.34e+13 1.54e+13    2   23      0        0  4.77e+08  0.00e+00  5.83e+08 -5.02e-05 -7.53e-17  1.02e-04  0.00e+00  0.00e+00  0.00e+00 -4.09e-05 -1.44e-16  9.10e-05  4.00e-05  9.74e-05  1.00e+00  6.26e+05 
4.42e+13 1.31e+13    2   24      0        0  2.00e+08  0.00e+00  3.50e+08 -4.94e-05  2.60e-17  1.14e-04  0.00e+00  0.00e+00  0.00e+00 -3.63e-05  5.62e-17  9.24e-05  4.82e-05  1.02e-04  1.00e+00  6.26e+05 
4.48e+13 1.08e+13    2   25      0        0 -9.71e+07  0.00e+00  1.22e+08 -3.66e-05  6.74e-18  1.19e-04  0.00e+00  0.00e+00  0.00e+00 -2.37e-05 -9.25e-19  8.04e-05  3.87e-05  9.72e-05  1.00e+00  6.26e+05 
4.53e+13 8.39e+12    2   26      0        0 -3.77e+08  0.00e+00 -3.96e+07 -1.27e-05  2.46e-17  9.09e-05  0.00e+00  0.00e+00  0.00e+00 -3.13e-06 -1.25e-18  5.13e-05  3.14e-05  7.36e-05  1.00e+00  6.26e+05 
4.57e+13 6.01e+12    2   27      0        0 -5.23e+08  0.00e+00 -1.15e+08  7.49e-06  6.32e-17  4.34e-05  0.00e+00  0.00e+00  0.00e+00  7.88e-06  1.46e-17  1.65e-05  6.32e-06  3.80e-05  1.00e+00  6.26e+05 
4.59e+13 3.61e+12    2   28      0        0 -5.71e+08  0.00e+00 -1.10e+08  8.65e-06  1.36e-16  1.50e-05  0.00e+00  0.00e+00  0.00e+00  1.09e-05  2.63e-17  2.55e-07  7.00e-06  1.80e-05  1.00e+00  6.26e+05 
4.60e+13 1.21e+12    2   29      0        0 -5.88e+08  0.00e+00 -1.11e+08  3.67e-06  9.23e-17  3.87e-06  0.00e+00  0.00e+00  0.00e+00  6.97e-06  1.05e-17 -2.42e-05 -4.68e-05  2.52e-05  1.00e+00  6.26e+05 
4.61e+13 2.82e-03    2   30     -2        0 -5.88e+08  0.00e+00  4.39e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
4.61e+13 2.82e-03    2   31     -2        0 -5.88e+08  0.00e+00  4.39e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.29e+12 4.94e+13    3    0     -2        0 -1.60e+09  0.00e+00  7.41e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.88e+12 4.93e+13    3    1     -2        0  4.73e+08  0.00e+00  9.08e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
