        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
4.222e+13   51      0        0  2.60e+09  0.00e+00  0.00e+00  5.54e-06 -1.65e-12 -5.63e-05  0.00e+00  6.18e-05  0.00e+00 -5.63e-05 -1.65e-12  5.54e-06  6.91e-05  6.18e-05  1.00e+00  1.00e+05 
4.432e+13   52      0        0  2.50e+09  0.00e+00  0.00e+00  5.97e-06 -1.39e-12 -5.06e-05  0.00e+00  5.65e-05  0.00e+00 -5.06e-05 -1.39e-12  5.97e-06  6.82e-05  5.65e-05  1.00e+00  1.00e+05 
4.653e+13   53      0        0  2.41e+09  0.00e+00  0.00e+00  9.96e-06 -1.19e-12 -4.20e-05  0.00e+00  5.19e-05  0.00e+00 -4.20e-05 -1.19e-12  9.96e-06  7.62e-05  5.19e-05  1.00e+00  1.00e+05 
4.884e+13   54      0        0  2.35e+09  0.00e+00  0.00e+00  1.27e-05 -1.06e-12 -3.56e-05  0.00e+00  4.83e-05  0.00e+00 -3.56e-05 -1.06e-12  1.27e-05  7.14e-05  4.83e-05  1.00e+00  1.00e+05 
5.127e+13   55      0        0  2.30e+09  0.00e+00  0.00e+00  1.14e-05 -9.41e-13 -3.36e-05  0.00e+00  4.50e-05  0.00e+00 -3.36e-05 -9.41e-13  1.14e-05  6.43e-05  4.50e-05  1.00e+00  1.00e+05 
5.382e+13   56      0        0  2.24e+09  0.00e+00  0.00e+00  1.23e-05 -8.30e-13 -2.95e-05  0.00e+00  4.18e-05  0.00e+00 -2.95e-05 -8.30e-13  1.23e-05  6.91e-05  4.18e-05  1.00e+00  1.00e+05 
5.650e+13   57      0        0  2.21e+09  0.00e+00  0.00e+00  1.43e-05 -7.58e-13 -2.49e-05  0.00e+00  3.92e-05  0.00e+00 -2.49e-05 -7.58e-13  1.43e-05  6.69e-05  3.92e-05  1.00e+00  1.00e+05 
5.931e+13   58      0        0  2.18e+09  0.00e+00  0.00e+00  1.45e-05 -6.96e-13 -2.25e-05  0.00e+00  3.69e-05  0.00e+00 -2.25e-05 -6.96e-13  1.45e-05  6.50e-05  3.69e-05  1.00e+00  1.00e+05 
6.226e+13   59      0        0  2.17e+09  0.00e+00  0.00e+00  1.47e-05 -6.45e-13 -2.01e-05  0.00e+00  3.49e-05  0.00e+00 -2.01e-05 -6.45e-13  1.47e-05  6.38e-05  3.49e-05  1.00e+00  1.00e+05 
6.536e+13   60      0        0  2.15e+09  0.00e+00  0.00e+00  1.52e-05 -6.04e-13 -1.78e-05  0.00e+00  3.30e-05  0.00e+00 -1.78e-05 -6.04e-13  1.52e-05  6.32e-05  3.30e-05  1.00e+00  1.00e+05 
