      r      theta      rho   t_gas   t_rad          v_r      v_theta
1.38145    1.53114  -8.5535  6.7055 6.49041    -0.395679   0.00826029
1.38145    1.53788 -8.50224 6.70179 6.50687    -0.391917   0.00819842
1.38145    1.54426 -8.44617 6.69528 6.52298    -0.388698   0.00739041
1.38145    1.55039 -8.37933 6.68769 6.53887    -0.385618   0.00674699
1.38145    1.55633 -8.31348 6.69145  6.5546    -0.382709   0.00577994
1.38145    1.56216 -8.25988 6.69632 6.56777    -0.380188   0.00459319
1.38145    1.56793 -8.22749 6.69638 6.57646    -0.378332    0.0032276
1.38145    1.57367 -8.22436 6.69613 6.57869    -0.376999   0.00152453
1.38145    1.57943 -8.24792 6.69375 6.57441    -0.376594 -3.64637e-06
1.38145    1.58526 -8.28705 6.68883 6.56549    -0.377071  -0.00125525
1.38145    1.59121 -8.33036 6.68827 6.55444    -0.378502  -0.00229573
1.38145    1.59733 -8.38123   6.684 6.54127      -0.3804  -0.00339962
1.38145    1.60372 -8.43615 6.69291 6.52647    -0.382448   -0.0041665
1.38145    1.61045 -8.49653 6.69953 6.50984     -0.38644  -0.00513032
1.38145    1.61765 -8.55996 6.71456 6.49197    -0.389271   -0.0053379
1.38145    1.62547  -8.6275 6.73253  6.4729    -0.393972  -0.00584679
1.38145    1.63407 -8.69435 6.75204 6.45257    -0.399068  -0.00610128
1.38145    1.64367 -8.76141 6.78056 6.43181    -0.404597  -0.00621486
1.38145    1.65452 -8.83323 6.82208 6.41026    -0.410601  -0.00632793
1.38145    1.66691 -8.91384 6.87379 6.38751    -0.417155  -0.00629065
1.38145    1.68118 -9.00592 6.94495 6.36453    -0.424081  -0.00615256
1.38145    1.69772 -9.12113 7.03246 6.34051    -0.430149  -0.00583568
1.38145    1.71699 -9.26065  7.1773 6.31613    -0.436237  -0.00527232
1.38145    1.73948 -9.41478 7.33901  6.2919    -0.441428  -0.00441079
1.38145    1.76577 -9.58418  7.5324 6.26893    -0.445615  -0.00290942
1.38145     1.7965 -9.76053 7.76102 6.25062    -0.449439  -0.00100388
1.38145    1.83238 -9.92423 7.98382 6.23766     -0.45275   0.00137476
1.38145    1.87421 -10.0622 8.17804 6.23037    -0.456428   0.00398018
1.38145    1.92284 -10.1715 8.35962 6.22741    -0.460118   0.00717587
1.38145    1.97923 -10.2576 8.48538 6.22716    -0.465006     0.010451
1.38145    2.04443 -10.3189 8.57724 6.22911    -0.473337    0.0143758
1.38145    2.11956 -10.3559 8.60758 6.22814     -0.48909    0.0182194
1.38145    2.20587 -10.3678 8.56086 6.21949    -0.521261    0.0232577
1.38145    2.30468 -10.3523 8.39016 6.19145    -0.589531    0.0292994
1.38145    2.41744 -10.3166 8.21432 6.15522    -0.679246    0.0369413
1.38145    2.54568 -10.2842 8.11172  6.1366    -0.760976    0.0413297
1.38145    2.69108 -10.2752 8.08104 6.09796    -0.859624    0.0443268
1.38145    2.85541 -10.3244 7.69756 6.09248     -0.88759    0.0378615
1.38145    3.04057 -10.3519 8.02981 6.15756    -0.748835    0.0303228
1.46293   0.100883 -10.4098 8.18465 6.15493     -0.73004   -0.0270286
1.46293   0.285798  -10.327 7.99269 6.17992    -0.692007   -0.0240417
1.46293   0.449918 -10.2789 8.28525 6.21395    -0.648606   -0.0290781
1.46293    0.59514 -10.2907 8.31599  6.2107    -0.591836   -0.0284487
1.46293    0.72324 -10.3191 8.39862 6.20072    -0.549267   -0.0270214
1.46293   0.835877 -10.3335 8.36086 6.18678    -0.522081   -0.0230328
1.46293   0.934597 -10.3199 8.29005 6.18014    -0.500959   -0.0191502
1.46293    1.02083 -10.2792 8.19072 6.18054    -0.484255   -0.0148037
1.46293    1.09592 -10.2127 8.09638 6.18601    -0.470758    -0.011139
1.46293    1.16109 -10.1176 7.96127 6.19349    -0.460774  -0.00740299
1.46293    1.21746  -10.003 7.83313  6.2049    -0.453912  -0.00425706
1.46293    1.26609 -9.87145 7.65976 6.21675    -0.448376  -0.00135688
1.46293    1.30792 -9.72653 7.50807 6.23166    -0.443436   0.00101868
1.46293    1.34383 -9.59212 7.36242 6.24785     -0.43875   0.00320067
1.46293    1.37459 -9.46852 7.20991 6.26554    -0.434476   0.00499124
1.46293    1.40092 -9.35278 7.08259 6.28404    -0.429919   0.00646678
1.46293    1.42346 -9.24376 6.99532 6.30381    -0.425256   0.00768695
1.46293    1.44278 -9.13678 6.90749  6.3243    -0.420788   0.00858538
1.46293    1.45938 -9.03631 6.85041 6.34447     -0.41622   0.00922616
1.46293    1.47372 -8.94692 6.81159 6.36471    -0.411376   0.00959637
1.46293    1.48617 -8.86965 6.77833 6.38482    -0.406245   0.00972053
1.46293    1.49709 -8.80349 6.74109 6.40363    -0.401211   0.00970785
1.46293    1.50677 -8.74517 6.71988   6.422    -0.396264    0.0096461
1.46293    1.51544 -8.68962 6.69992 6.43987    -0.391789   0.00933264
1.46293    1.52334 -8.64125 6.69207 6.45681    -0.387473    0.0091597
1.46293    1.53062 -8.59414 6.67552 6.47295    -0.383817   0.00888669
1.46293    1.53743  -8.5424 6.66905 6.48897    -0.380471   0.00846682
1.46293    1.54389 -8.48503 6.67479 6.50511    -0.377438    0.0078886
1.46293     1.5501 -8.42059 6.66447  6.5204    -0.374652   0.00711242
1.46293    1.55613 -8.35438 6.67065 6.53582    -0.371949   0.00604776
1.46293    1.56204 -8.30027 6.67152 6.54851    -0.369525   0.00477228
1.46293    1.56788 -8.26806  6.6755   6.557    -0.367661   0.00333071
1.46293    1.57371  -8.2646 6.67616 6.55929    -0.366484   0.00144675
1.46293    1.57955 -8.28792 6.67123 6.55455    -0.365904 -3.92609e-05
1.46293    1.58546 -8.32498 6.66683 6.54661    -0.366263  -0.00141229
1.46293    1.59149 -8.36691  6.6611 6.53581    -0.367899  -0.00260034
1.46293     1.5977 -8.41471 6.66056 6.52315    -0.368743  -0.00365209
1.46293    1.60416 -8.46901 6.66295 6.50851    -0.370635  -0.00443689
1.46293    1.61098 -8.52847 6.66901 6.49233    -0.373151  -0.00522616
1.46293    1.61826  -8.5928  6.6748 6.47465     -0.37655  -0.00575232
1.46293    1.62615 -8.66054 6.69319 6.45593    -0.380754  -0.00627566
1.46293    1.63483 -8.72657 6.70717  6.4362    -0.385608  -0.00662956
1.46293     1.6445 -8.79303 6.73722 6.41549    -0.390766  -0.00669478
1.46293    1.65542 -8.86473 6.76427 6.39456    -0.395932  -0.00690553
1.46293    1.66788 -8.94477 6.81053 6.37218    -0.401796  -0.00695419
1.46293    1.68221 -9.03429 6.87418 6.34949     -0.40784  -0.00681733
1.46293    1.69881 -9.14178 6.94798 6.32573    -0.413844  -0.00659181
1.46293    1.71813  -9.2787 7.06898 6.30086    -0.419813  -0.00610204
1.46293    1.74067 -9.43237 7.20108 6.27571    -0.425707  -0.00530399
1.46293      1.767 -9.60404  7.3909 6.25095    -0.430382  -0.00389609
1.46293    1.79776 -9.78204 7.56421 6.22915    -0.435543  -0.00216581
1.46293    1.83367 -9.94614 7.73785 6.21116    -0.440646  0.000173531
1.46293     1.8755 -10.0865  7.8799 6.19799    -0.447139   0.00276291
1.46293    1.92413 -10.1983 8.04081 6.18952    -0.454313   0.00592649
1.46293    1.98051 -10.2851  8.1391 6.18379    -0.463053   0.00919144
1.46293    2.04567 -10.3463 8.23281 6.18281    -0.474775    0.0130199
1.46293    2.12076 -10.3825 8.30264 6.18469    -0.488336    0.0164185
1.46293      2.207 -10.3958 8.36396 6.19335    -0.505137    0.0203208
1.46293    2.30572 -10.3838 8.44052 6.20655    -0.524818     0.023655
1.46293    2.41835 -10.3449 8.43027 6.22279    -0.549501    0.0269876
1.46293    2.54645 -10.2994 8.30805 6.22766    -0.591924    0.0283248
1.46293    2.69167 -10.2826 8.25747 6.22358    -0.652315    0.0293147
1.46293    2.85579 -10.3282 7.95712 6.18861    -0.695884     0.024435
1.46293    3.04071 -10.4118 8.15925    6.16    -0.737696      0.02713
1.55003   0.100738 -10.4812 8.14707 6.13702    -0.735651   -0.0242099
1.55003   0.285396 -10.3353 8.23398 6.16375    -0.715625   -0.0211575
1.55003   0.449297 -10.2882 8.22675 6.17914    -0.670721   -0.0258714
1.55003   0.594337 -10.3075 8.21806 6.17886     -0.60228   -0.0252672
